category,day_of_week,post_hour,followers,reel_duration_sec,num_hashtags,caption_length,has_music,has_trending_audio,collab_post,avg_past_views,past_engagement_rate,num_mentions,is_sponsored,views
fashion,Saturday,2,582,7,5,72,0,0,0,3075,0.0339,6,0,4212
motivation,Wednesday,4,5667,7,14,12,0,0,1,3839,0.0307,7,0,9111
fitness,Tuesday,22,37188,60,3,38,1,0,0,135,0.1219,8,0,26600
food,Sunday,7,13433,15,14,83,1,0,0,669,0.0265,5,0,11374
food,Wednesday,18,5227,30,9,20,1,0,0,729,0.0433,6,0,7000
dance,Saturday,17,3253,15,24,252,1,0,0,426,0.0366,3,0,6140
education,Tuesday,17,132,15,15,257,1,0,1,547,0.1084,9,0,2797
comedy,Thursday,20,14108,30,12,299,1,0,0,5759,0.028,6,0,11319
food,Wednesday,0,17493,15,18,29,1,0,0,975,0.0085,9,0,5496
education,Wednesday,14,1413,7,28,127,1,0,1,1996,0.0593,0,0,4254
education,Saturday,17,2129,60,25,39,1,1,0,37,0.0492,2,1,4579
finance,Friday,6,744,7,19,96,1,1,0,33,0.0627,0,0,1773
finance,Saturday,15,23449,7,3,223,1,0,0,166,0.1143,7,0,9411
fitness,Wednesday,15,2543,60,19,91,1,1,0,29111,0.0068,2,0,8616
fashion,Tuesday,14,3756,15,21,279,1,1,0,60909,0.0105,6,0,34866
fitness,Friday,5,15255,45,28,169,1,0,1,7832,0.0421,1,0,7153
travel,Saturday,8,8853,15,15,283,1,0,0,498,0.1339,4,0,14001
comedy,Sunday,6,13546,15,10,221,0,0,0,2573,0.0295,2,0,8229
travel,Saturday,13,6732,30,30,116,1,0,0,13689,0.1496,9,0,17279
gaming,Wednesday,10,7008,90,14,247,1,0,0,44748,0.1218,2,0,25524
travel,Wednesday,20,6889,7,10,88,1,1,0,109,0.0711,4,0,9470
dance,Thursday,15,11106,30,22,77,1,1,1,1649,0.1134,7,1,13332
travel,Saturday,5,12121,7,29,73,1,1,0,575,0.0802,1,0,13485
fitness,Wednesday,21,542,15,24,13,1,1,0,3540,0.0871,3,0,7288
food,Sunday,15,1677,60,29,44,1,1,0,1217,0.0892,3,1,7500
food,Monday,19,3408,7,10,37,1,0,0,148,0.0991,4,0,5106
finance,Friday,15,11084,60,2,244,1,0,0,2415,0.0138,5,0,2147
comedy,Monday,11,87147,15,23,61,0,0,0,272,0.0944,8,0,20701
comedy,Friday,16,1137,60,23,95,1,1,0,1021,0.109,4,1,13463
dance,Sunday,4,23898,30,16,251,1,0,0,1124,0.0501,9,0,29170
fitness,Saturday,12,1764,60,4,60,1,1,0,32019,0.1469,7,0,40948
finance,Thursday,7,57926,15,12,268,1,1,0,2082,0.0259,4,0,17121
gaming,Wednesday,23,153617,45,9,118,1,0,0,917,0.137,2,0,137834
comedy,Wednesday,4,211,45,4,86,1,0,1,4668,0.1031,5,0,5494
food,Wednesday,11,2731,30,11,82,1,1,1,187,0.1013,3,0,4225
travel,Saturday,8,100,60,7,79,1,0,1,1341,0.132,4,1,14668
travel,Friday,2,234,30,23,227,1,0,0,3900,0.1256,7,0,4345
finance,Sunday,2,262,60,11,110,1,1,0,3560,0.0551,3,0,5229
fitness,Wednesday,0,15113,30,15,70,1,1,1,380,0.1073,6,0,7264
fitness,Monday,21,10792,30,1,24,1,0,0,2270,0.0123,2,0,3106
fashion,Wednesday,17,20790,60,2,278,1,1,1,4275,0.0723,3,0,42107
motivation,Saturday,23,14680,15,17,201,1,0,0,179,0.141,7,0,15048
comedy,Sunday,11,11767,30,16,224,1,1,1,327,0.0447,7,0,27904
fitness,Thursday,8,6010,90,1,266,1,1,0,575,0.0122,8,0,9293
food,Sunday,8,3883,30,25,282,1,0,0,115735,0.0895,3,0,95871
finance,Monday,17,30800,15,21,116,1,0,0,245,0.0565,9,0,5200
gaming,Wednesday,17,5024,30,11,66,1,1,1,2101,0.0601,3,0,8749
fashion,Wednesday,6,12648,60,16,46,1,0,0,541,0.0895,4,0,12640
education,Tuesday,3,100,90,5,240,1,0,1,168,0.0951,4,0,1919
dance,Friday,12,592,90,16,177,1,0,0,4428,0.0684,2,0,10864
gaming,Monday,16,28692,45,1,7,1,0,0,65,0.0786,0,0,7253
education,Tuesday,23,1475,30,7,182,1,1,0,19674,0.149,9,0,7528
travel,Sunday,1,398,15,13,76,1,0,0,137,0.1438,0,0,2554
dance,Thursday,13,15589,15,5,66,1,1,0,289,0.1076,7,0,17318
comedy,Friday,2,4926,7,8,147,1,0,0,3441,0.0284,3,0,2418
food,Monday,4,2362,7,0,172,1,1,0,4939,0.0572,9,0,4343
dance,Wednesday,13,74339,60,4,34,1,0,0,1748,0.133,1,0,51669
motivation,Sunday,2,54577,60,6,76,1,0,0,377,0.0664,5,0,2947
education,Monday,22,3504,30,8,279,1,1,1,45,0.1435,8,0,2888
comedy,Wednesday,6,18038,90,13,184,1,0,0,916,0.0758,4,0,12661
motivation,Friday,17,100,90,26,54,1,0,0,200,0.13,2,0,9422
travel,Wednesday,12,35173,45,8,93,1,1,0,136503,0.0101,3,0,99043
motivation,Thursday,22,695,30,3,143,1,1,0,1430,0.068,1,0,1893
fashion,Sunday,21,360,15,28,246,1,1,0,83,0.1065,6,0,9438
fashion,Saturday,9,197,30,19,199,0,0,0,564,0.1302,3,0,12737
finance,Wednesday,12,171,15,14,235,1,0,0,4993,0.0934,3,0,3545
gaming,Thursday,15,34357,30,3,219,1,0,1,11214,0.0301,7,0,8331
gaming,Saturday,8,15306,90,2,215,1,1,0,590,0.1334,9,0,40500
comedy,Sunday,1,1238,15,23,48,0,1,0,865,0.0883,4,0,9473
travel,Friday,22,22898,15,20,284,1,0,0,3393,0.0207,2,0,11279
fitness,Friday,4,1684,30,22,117,1,0,1,168,0.0723,5,1,7283
fashion,Sunday,21,8800,30,25,81,1,0,0,2196,0.1063,7,0,18226
comedy,Sunday,16,2062,15,21,262,1,0,0,1941,0.0704,9,0,5717
fitness,Monday,22,3960,15,13,76,1,0,0,3188,0.1313,0,0,13625
gaming,Thursday,21,958,90,8,210,1,1,1,1014,0.0664,8,0,6901
finance,Thursday,3,1251,15,29,121,0,1,0,47,0.0896,3,0,4504
motivation,Sunday,16,13086,60,18,89,1,1,0,1729,0.0356,4,0,8439
fashion,Tuesday,8,17476,30,5,257,1,1,0,190,0.0793,9,0,13359
comedy,Tuesday,19,2332,30,2,160,1,1,0,34606,0.0373,2,0,19946
dance,Saturday,1,315,15,17,175,1,1,0,36642,0.0377,8,0,16426
fitness,Saturday,23,420098,45,15,292,1,0,0,111,0.0456,5,1,97118
motivation,Tuesday,17,5250,60,2,88,0,0,1,198,0.0114,0,0,759
fashion,Sunday,20,8620,15,1,126,1,0,0,10,0.0287,8,0,6858
gaming,Sunday,21,507,7,1,285,1,1,0,4773,0.0665,4,0,3300
travel,Saturday,10,43801,15,25,296,0,1,1,348,0.024,2,0,18314
fitness,Wednesday,12,57653,45,26,259,0,0,0,1884,0.0243,3,0,21206
gaming,Sunday,7,227,30,22,243,1,1,0,373,0.1454,4,0,5916
fashion,Tuesday,0,4087,15,9,110,1,0,0,44,0.0669,0,0,3310
fitness,Thursday,16,3551,15,14,23,1,1,1,1671,0.0635,9,0,9543
motivation,Sunday,11,361929,30,2,49,1,1,0,14437,0.0438,2,0,61926
fashion,Sunday,3,66072,60,7,36,1,1,0,1036,0.0793,6,1,23350
education,Wednesday,20,360,30,28,180,1,1,0,140,0.0914,8,0,3738
comedy,Saturday,12,1325,15,17,252,1,0,0,815,0.0656,5,0,11905
motivation,Sunday,8,984,15,26,24,1,0,1,3061,0.0621,3,0,8684
fitness,Friday,6,9595,30,10,124,0,0,0,732,0.1066,3,0,4827
travel,Monday,22,83281,7,6,30,1,0,0,121,0.1427,8,0,39778
gaming,Tuesday,23,5982,45,18,236,1,1,0,62292,0.1323,0,0,31130
dance,Friday,4,12113,30,24,226,1,0,0,53,0.0222,5,0,9227
gaming,Saturday,4,1486,15,6,37,1,1,0,103694,0.0996,3,0,98789
fitness,Thursday,16,11997,30,30,57,0,1,0,910,0.006,2,0,3725
gaming,Monday,8,2101,45,24,235,0,0,1,6597,0.0968,0,0,8911
comedy,Friday,5,256,30,1,180,1,0,1,1686,0.0723,4,1,1522
fashion,Monday,18,10674,60,5,113,1,0,0,189,0.0762,3,0,8478
dance,Tuesday,15,4828,30,4,131,1,0,0,15642,0.0903,9,0,9311
food,Saturday,20,682,45,13,179,1,0,0,3758,0.1127,3,0,12495
fitness,Sunday,1,95005,45,17,77,1,0,0,905,0.1108,7,0,34796
finance,Thursday,9,1236,15,3,219,0,0,0,4700,0.0114,1,0,3450
food,Saturday,15,14711,7,3,141,1,1,0,833,0.1118,9,0,8186
gaming,Monday,4,2559,60,23,42,1,1,0,13,0.1253,9,0,3671
fitness,Friday,14,79097,90,12,117,1,1,0,35,0.0149,3,0,44911
education,Tuesday,12,3204,45,22,58,1,0,1,1049,0.0518,0,1,11895
finance,Tuesday,12,241,45,28,60,1,1,0,580,0.1198,1,0,1962
dance,Saturday,12,21120,15,20,40,0,1,1,916,0.0765,9,0,18300
travel,Sunday,14,78525,30,24,273,0,1,0,555,0.1058,9,0,70108
education,Friday,13,2276,90,0,187,1,0,0,116,0.0778,2,0,4971
food,Sunday,7,16680,60,19,186,0,1,1,69,0.1468,0,0,26393
fashion,Sunday,10,6204,15,4,227,1,1,0,202,0.1407,1,1,3675
comedy,Friday,17,2467,15,23,163,1,0,0,4957,0.0458,6,0,11216
travel,Monday,23,22322,30,2,285,1,0,0,213,0.061,9,1,7393
education,Saturday,3,1164,30,29,101,0,1,0,8815,0.0675,9,0,6093
fashion,Saturday,9,5210,30,27,266,1,0,0,137,0.0201,5,0,17373
fashion,Wednesday,0,7810,30,20,123,1,0,0,11733,0.0636,1,0,8702
fitness,Saturday,4,7317,7,18,152,1,0,0,391,0.1174,0,0,2939
education,Tuesday,12,1217,45,12,178,1,1,1,592,0.1278,9,0,4882
dance,Monday,0,200243,45,6,65,1,1,1,602,0.1335,8,0,91061
gaming,Friday,22,47669,60,9,98,1,0,0,3513,0.0071,0,0,37300
finance,Saturday,7,29223,60,2,23,1,1,0,1815,0.1194,9,0,14242
finance,Monday,2,64846,30,22,248,1,0,0,1448,0.0779,4,0,10725
food,Saturday,2,5562,45,29,164,1,1,0,932,0.0349,8,0,10373
food,Friday,6,2519,30,1,93,1,0,0,351,0.0773,8,0,17018
finance,Thursday,3,692,90,6,123,1,1,0,9836,0.1274,5,0,13461
dance,Friday,2,1385,15,8,155,1,0,0,1302,0.068,2,0,3575
comedy,Friday,14,792,60,27,248,1,0,0,3457,0.1486,1,0,14313
motivation,Friday,7,1899,15,20,270,1,0,0,1636,0.0944,2,0,10099
gaming,Saturday,2,8084,15,11,57,1,1,0,471,0.076,0,0,4335
comedy,Wednesday,6,25469,30,21,194,1,1,0,132027,0.0478,2,0,102072
fitness,Friday,17,24232,30,28,200,1,0,0,12839,0.0066,1,0,25075
motivation,Tuesday,10,596,15,9,71,1,0,0,372,0.0935,7,0,2608
motivation,Tuesday,10,16990,30,26,246,0,1,0,66511,0.0887,9,0,70946
education,Monday,16,38520,60,18,97,1,1,0,7007,0.0799,6,0,11595
dance,Wednesday,5,3109,15,12,80,1,0,1,123,0.083,0,0,3302
dance,Monday,7,42444,30,9,64,1,0,0,6399,0.1273,0,0,32759
motivation,Tuesday,0,23776,15,4,4,1,0,1,2520,0.0509,4,0,3341
education,Sunday,9,504,30,28,283,1,0,0,1527,0.0848,3,0,11939
gaming,Tuesday,18,254009,45,14,293,1,0,0,8345,0.1036,7,0,140436
motivation,Thursday,2,1355,30,20,80,1,0,0,2168,0.0354,7,0,5443
travel,Friday,3,27538,90,2,86,1,0,0,19,0.1391,2,0,10910
food,Sunday,10,25801,30,7,292,1,1,0,73,0.1119,4,0,36387
food,Tuesday,14,542,60,5,280,1,1,1,198,0.0127,6,1,6554
comedy,Saturday,0,6782,45,28,196,1,1,0,59347,0.1304,7,0,46000
fitness,Saturday,8,25236,60,18,251,1,1,0,4037,0.1398,2,0,21550
food,Monday,10,532,15,16,82,1,1,0,3236,0.1201,7,0,6167
fashion,Sunday,18,5879,15,9,26,1,0,0,1360,0.0668,9,0,19333
comedy,Monday,12,29343,30,0,181,1,1,0,173,0.1492,8,0,17079
food,Friday,15,32959,60,12,134,1,0,0,59,0.023,2,0,8031
fitness,Friday,3,2404,15,26,89,1,1,0,8035,0.0828,1,0,9023
dance,Thursday,0,79210,90,9,205,1,1,0,30540,0.0297,1,0,74448
dance,Wednesday,19,51531,15,11,26,1,1,0,4251,0.0687,4,0,45294
gaming,Monday,12,7587,15,1,58,1,0,0,410,0.1395,9,0,11610
motivation,Friday,0,1501,15,9,71,1,1,0,483,0.1202,0,1,1696
travel,Monday,4,602,30,20,226,1,1,0,4386,0.1184,5,0,2624
dance,Friday,4,9697,60,22,90,1,0,0,868,0.0563,6,1,26319
education,Tuesday,13,68605,15,0,67,0,1,0,800,0.1405,4,0,20412
food,Monday,22,3771,30,0,259,1,0,0,373,0.0584,7,0,2583
education,Tuesday,13,1046,15,19,145,1,1,0,290,0.0108,5,1,6257
fitness,Monday,7,21695,30,28,62,1,0,0,862,0.0975,0,0,11284
dance,Wednesday,3,6728,15,25,179,1,0,1,46,0.0576,8,0,5644
travel,Thursday,6,12439,30,14,110,1,1,1,3784,0.0273,4,0,11716
fitness,Saturday,19,1909,45,21,190,1,0,0,26,0.1405,4,0,4069
fashion,Saturday,18,2525,30,24,245,0,0,0,9234,0.0974,0,1,30355
fashion,Saturday,14,1893,15,0,277,1,0,0,381,0.1414,4,0,3750
education,Tuesday,21,12070,15,26,296,0,1,0,864,0.0895,2,1,7340
motivation,Sunday,3,2668,45,25,122,1,0,0,3347,0.0143,9,0,2800
comedy,Friday,18,14276,60,20,56,1,1,0,616,0.0093,2,0,9646
motivation,Saturday,8,1606,60,8,159,1,1,0,250,0.1356,9,0,3824
gaming,Wednesday,20,12034,60,23,126,1,0,0,1944,0.0106,7,0,14750
motivation,Saturday,12,17444,90,6,224,0,1,1,89023,0.0942,8,0,80765
gaming,Monday,13,8926,30,15,94,1,0,0,5300,0.0482,5,0,13465
gaming,Tuesday,22,25608,15,15,5,1,0,0,240,0.1047,2,0,30151
travel,Sunday,13,2066,7,12,264,1,0,1,542,0.0463,7,0,8239
dance,Monday,21,17098,30,9,233,1,0,0,422,0.0104,2,0,16473
travel,Sunday,9,7480,45,17,287,1,0,1,139,0.111,6,0,21845
gaming,Monday,15,1144,60,8,15,1,0,0,3639,0.0501,1,0,5258
fitness,Monday,4,158,15,11,139,1,1,1,571,0.0849,5,0,2882
fashion,Thursday,22,233,30,28,296,1,0,1,2070,0.1172,7,0,16560
gaming,Thursday,5,100,45,23,194,1,1,0,5,0.1069,2,0,3501
travel,Friday,1,10583,30,12,185,1,0,0,4359,0.0555,8,0,7460
fitness,Tuesday,12,2739,15,10,124,1,0,0,335,0.1134,8,0,13526
travel,Wednesday,12,5750,45,14,16,1,0,0,146,0.1392,2,0,5380
motivation,Wednesday,18,3552,15,9,25,1,0,0,75,0.0934,2,0,3304
food,Wednesday,17,14002,60,9,212,1,1,0,174,0.107,4,0,6965
education,Monday,18,14759,90,8,0,1,0,0,466,0.1306,8,0,9299
comedy,Thursday,0,5309,30,24,290,1,0,0,6486,0.1273,0,0,7265
travel,Tuesday,7,5920,30,24,264,1,0,0,451,0.056,0,0,7011
comedy,Monday,21,6361,45,2,37,1,0,0,7827,0.1488,0,0,13184
finance,Sunday,15,60186,30,22,232,1,0,1,1967,0.0091,3,0,17593
travel,Thursday,1,133,7,15,259,0,0,0,41716,0.1481,6,0,48989
food,Thursday,7,1470,60,11,260,1,0,0,402,0.0407,1,0,3961
comedy,Saturday,5,23329,30,16,237,1,0,0,2508,0.0689,2,0,14533
gaming,Saturday,15,36106,15,24,105,1,0,1,13328,0.1331,3,0,14019
travel,Tuesday,22,10603,30,29,246,1,1,0,3868,0.0404,0,0,6449
dance,Sunday,10,3528,15,14,37,0,0,0,780,0.0376,1,0,3643
education,Tuesday,16,140197,15,24,45,1,0,0,413,0.0983,1,0,42382
food,Tuesday,22,6768,30,2,209,1,0,0,22,0.1073,5,0,7724
comedy,Monday,18,5194,30,4,92,1,0,0,679,0.0061,3,0,5365
food,Friday,10,54025,30,27,219,1,0,0,173,0.0703,6,0,39939
fitness,Tuesday,7,11567,90,12,255,1,0,0,371,0.0759,7,0,25459
education,Saturday,21,26680,60,23,136,1,0,0,1216,0.0444,1,0,15699
gaming,Friday,3,32943,7,5,230,1,0,0,48,0.0842,1,0,9122
travel,Monday,10,2513,7,25,201,1,1,0,150,0.0274,4,0,4846
travel,Friday,7,118411,30,25,65,1,1,0,2379,0.0519,3,0,124195
travel,Wednesday,8,100,30,8,37,1,0,0,87,0.1084,9,0,4931
education,Sunday,1,139,60,29,154,1,0,0,1001,0.1317,1,0,3703
dance,Friday,15,1444,30,28,104,1,1,0,66,0.0905,8,0,6618
finance,Tuesday,5,2293,15,18,254,1,1,0,3142,0.0159,8,0,3769
fashion,Monday,20,9440,30,27,15,1,1,0,4081,0.1034,9,0,25383
motivation,Sunday,20,1420,60,6,78,1,0,0,12962,0.1352,3,0,9408
comedy,Tuesday,18,4810,90,12,12,1,0,0,13231,0.0781,1,0,11786
dance,Sunday,7,3397,15,21,101,1,1,1,1897,0.0766,2,0,16163
gaming,Saturday,13,181323,30,29,151,1,1,0,32,0.1488,7,1,149530
comedy,Wednesday,23,1154,15,30,177,1,0,1,1101,0.0973,7,0,6716
travel,Saturday,15,237,30,4,86,1,1,0,2740,0.1219,6,0,3839
food,Tuesday,11,36834,7,15,87,1,0,0,1396,0.0987,3,0,12975
gaming,Tuesday,4,1359,90,3,28,1,0,0,30500,0.037,0,0,8521
comedy,Tuesday,23,4167,30,4,99,1,0,0,14696,0.0462,9,1,20968
travel,Thursday,23,1535,60,28,114,0,0,0,1155,0.1015,8,0,6795
comedy,Wednesday,18,18525,90,19,209,1,1,1,4873,0.0711,6,0,22875
food,Sunday,17,414,15,18,73,0,1,0,58,0.0636,0,1,2964
travel,Tuesday,8,100,45,22,134,1,1,0,1600,0.0083,4,0,15467
finance,Tuesday,1,50629,60,5,268,1,0,1,87,0.1332,2,0,17072
dance,Sunday,19,7672,30,3,77,1,0,0,766,0.1333,1,0,23317
fitness,Saturday,11,33886,30,24,124,1,0,0,282,0.0718,2,0,9158
motivation,Saturday,1,47666,30,0,37,0,0,1,298,0.1066,5,0,14382
education,Tuesday,9,944,45,16,268,0,1,0,215,0.0308,6,0,1527
motivation,Monday,0,5481,30,8,105,1,0,0,492,0.0781,9,0,9650
gaming,Thursday,3,12206,30,15,43,1,0,0,349,0.0686,8,0,3519
motivation,Saturday,11,4044,15,22,224,1,0,0,3891,0.1002,9,0,9150
travel,Monday,8,2802,7,1,241,0,0,0,646,0.0731,6,0,4907
finance,Thursday,3,3345,7,10,152,1,1,0,1001,0.0773,0,0,3900
fitness,Tuesday,8,34557,15,25,23,0,0,0,1962,0.0479,6,0,19695
dance,Wednesday,5,3083,30,4,123,1,1,0,1950,0.012,0,1,4726
dance,Friday,0,14478,7,12,284,1,1,1,129,0.138,7,1,12448
food,Friday,9,9176,15,19,260,1,0,1,646,0.0068,1,0,10969
education,Tuesday,13,866,45,16,145,0,0,0,1762,0.0458,1,0,3350
comedy,Saturday,21,8463,45,27,190,0,1,0,188,0.0699,0,0,17179
finance,Monday,17,308,45,28,164,1,0,0,150,0.0513,8,0,3720
comedy,Wednesday,5,10123,90,24,70,1,1,0,104,0.085,7,0,18936
fitness,Sunday,17,24440,15,14,200,1,0,1,1642,0.0719,8,0,29175
motivation,Thursday,19,36995,15,21,11,1,0,1,609,0.042,7,0,19096
dance,Tuesday,15,884,15,26,51,0,1,0,810,0.0178,3,0,2388
fitness,Wednesday,14,1872,60,28,255,1,0,0,31,0.0249,8,0,5392
motivation,Wednesday,15,8195,45,29,299,1,0,0,1263,0.0755,7,0,16788
dance,Saturday,7,2086,15,11,8,0,0,0,1395,0.1277,0,0,14110
motivation,Thursday,12,152,7,5,139,1,0,0,1857,0.0196,9,0,2419
education,Wednesday,22,1853,30,19,99,1,0,0,19619,0.1032,4,0,34918
finance,Saturday,10,8138,15,12,136,1,0,0,239,0.1199,8,0,4511
gaming,Monday,6,33575,30,17,21,1,0,0,2908,0.0451,7,0,23915
fitness,Saturday,16,102803,90,23,144,1,1,0,2140,0.1019,0,0,46507
fitness,Monday,17,6154,30,14,160,1,0,0,2725,0.1046,5,1,16079
fashion,Monday,21,13625,90,14,248,1,0,1,589,0.1076,5,0,12148
travel,Sunday,22,27706,30,7,174,1,0,0,5049,0.1342,1,0,16569
education,Sunday,18,122,30,18,87,1,0,0,255,0.0628,1,0,4162
education,Wednesday,12,784,60,22,32,1,0,1,428,0.0403,0,0,15747
comedy,Saturday,14,5911,30,13,270,1,0,0,757,0.0839,5,0,13790
motivation,Sunday,22,80878,30,6,282,1,1,0,693,0.0141,8,0,23724
travel,Monday,21,15268,45,13,225,1,0,0,2315,0.0534,7,0,7674
finance,Sunday,21,8896,60,4,111,1,0,0,1845,0.1331,4,0,4053
finance,Thursday,0,3259,7,14,81,0,1,0,1877,0.0821,7,0,4998
education,Wednesday,15,10595,15,20,212,1,0,0,15421,0.0683,1,0,4278
finance,Saturday,4,1679,30,14,7,1,1,0,723,0.0435,5,0,7117
fashion,Saturday,2,1207,60,23,133,1,0,0,9067,0.0413,1,1,14473
fitness,Friday,22,1411,90,3,117,1,1,0,130,0.0393,7,0,7095
food,Saturday,9,54877,15,0,83,1,1,0,848,0.1252,1,0,106225
gaming,Wednesday,18,1083,15,16,257,1,1,0,959,0.1478,4,0,12874
comedy,Thursday,4,2397,90,24,242,1,0,0,80,0.0825,6,0,7766
motivation,Saturday,6,11473,15,19,236,0,1,0,1199,0.0166,6,0,8268
gaming,Friday,13,1007,15,0,149,1,0,0,1382,0.1139,3,0,3359
motivation,Wednesday,2,7384,7,15,20,1,1,0,3621,0.1322,7,0,8806
dance,Monday,12,7379,15,12,133,1,0,0,2876,0.14,6,0,14246
gaming,Tuesday,12,1597,45,17,95,1,0,0,85,0.0962,9,1,7977
food,Tuesday,9,3084,30,9,12,1,0,0,11990,0.0785,4,0,12044
education,Monday,1,899,30,22,0,1,0,0,434,0.095,3,0,3186
fashion,Sunday,5,59217,60,17,149,1,0,0,327,0.0069,1,0,21199
fitness,Saturday,7,7813,15,16,116,1,1,0,2923,0.1,1,0,8090
fitness,Tuesday,3,744,7,25,151,1,0,0,6015,0.1079,3,0,3209
fashion,Sunday,11,6169,60,29,63,1,1,0,426,0.1097,7,0,10232
travel,Tuesday,14,6693,45,8,149,0,0,0,1003,0.0866,5,0,3720
dance,Monday,7,100,15,13,11,0,0,0,6783,0.1065,8,0,10317
motivation,Saturday,6,54874,15,20,89,1,0,0,170,0.0976,1,0,21790
food,Saturday,13,827,15,29,82,1,0,0,4,0.0218,6,0,5493
finance,Sunday,22,211585,30,12,249,1,0,0,3214,0.1353,0,0,393562
gaming,Monday,18,20568,7,19,32,1,1,0,6836,0.0953,1,0,21486
dance,Sunday,13,646,30,19,148,1,0,0,45,0.1105,8,1,5416
gaming,Saturday,21,2791,15,30,127,1,1,0,1053,0.0547,7,0,15511
food,Saturday,12,25866,60,13,99,1,0,0,405,0.1383,8,0,48137
comedy,Wednesday,20,3203,30,10,211,1,1,1,1418,0.0779,6,0,18392
comedy,Sunday,0,40979,30,12,73,1,0,0,17,0.1035,9,0,11159
dance,Wednesday,18,2497,7,16,95,1,1,0,86,0.1431,8,0,7850
education,Monday,0,4265,7,2,91,0,0,0,2690,0.1378,3,0,2198
food,Thursday,3,27180,45,28,174,1,0,0,840,0.0985,2,0,12725
food,Tuesday,9,14561,45,0,224,0,0,0,22226,0.029,3,0,6378
fashion,Wednesday,2,929,45,20,174,1,0,0,3558,0.1428,4,0,2666
education,Tuesday,19,10735,45,4,55,1,0,0,159,0.1477,9,0,5796
motivation,Friday,8,6643,15,24,268,1,0,0,4623,0.02,3,0,4330
motivation,Monday,2,952,45,12,34,1,1,0,33418,0.0703,3,0,8612
finance,Thursday,5,402,15,23,118,1,0,0,949,0.0845,6,0,6400
fitness,Friday,5,151,7,4,55,1,0,0,2454,0.0184,3,0,1715
comedy,Friday,22,2892,45,4,104,1,0,0,5714,0.0325,3,0,18525
motivation,Saturday,11,4459,60,22,175,1,1,0,785,0.083,8,0,8277
education,Friday,22,12188,45,11,105,1,0,0,15,0.1446,8,0,14741
food,Monday,0,21522,60,1,79,1,0,0,3333,0.009,4,0,1684
motivation,Wednesday,15,2333,90,28,162,1,0,0,5429,0.1373,8,0,12775
food,Monday,23,4232,15,22,266,1,0,0,20461,0.1353,1,0,10175
motivation,Wednesday,4,1254,90,15,50,1,0,0,121,0.1293,4,0,1742
comedy,Friday,8,5750,30,16,278,1,1,1,133,0.0597,6,1,17431
gaming,Friday,9,28094,60,29,74,1,0,0,276,0.0762,7,0,20745
motivation,Thursday,12,5896,45,4,126,1,0,0,783,0.0635,4,1,4779
education,Wednesday,14,39894,30,30,245,1,1,0,3218,0.1424,8,0,34898
motivation,Friday,11,27260,45,11,233,0,0,1,116,0.0806,2,0,21386
fitness,Saturday,4,67768,15,14,154,1,1,0,7321,0.0167,7,0,16621
comedy,Tuesday,4,6201,90,27,72,1,1,0,6618,0.0447,8,0,13914
education,Thursday,17,1884,15,5,136,1,1,0,7007,0.072,6,0,7952
fashion,Monday,11,15036,15,12,273,1,0,0,589,0.1433,4,0,29204
education,Thursday,2,2511,7,10,43,0,0,0,12,0.0875,8,0,4547
fitness,Tuesday,6,14210,15,29,246,1,1,0,26972,0.1059,7,1,35603
gaming,Wednesday,16,1490,15,25,148,1,0,0,335,0.0178,7,0,5625
comedy,Monday,18,1106,7,16,55,1,0,1,4606,0.1322,5,0,22115
fashion,Monday,17,43897,30,30,175,1,0,1,1398,0.0832,1,0,14432
fitness,Wednesday,0,794,30,8,256,1,0,0,10482,0.1386,3,0,8378
fitness,Sunday,23,30947,7,24,62,1,1,0,989,0.0696,0,0,49416
dance,Sunday,4,14113,15,15,62,1,1,1,1258,0.104,9,0,15190
comedy,Thursday,1,5823,90,16,293,1,0,1,1571,0.0733,4,0,2926
education,Friday,0,162,15,19,28,1,1,1,2527,0.0257,9,0,3356
food,Sunday,6,71266,15,30,39,1,0,0,92,0.0444,0,0,34167
gaming,Thursday,10,913,7,23,146,1,1,0,46688,0.0148,5,0,14846
food,Sunday,10,27328,15,17,87,1,0,0,952,0.0688,9,0,10350
education,Tuesday,17,1417,45,12,55,1,0,1,3463,0.0992,7,0,3268
education,Saturday,16,1226,30,28,299,1,0,0,22736,0.0403,9,0,18132
comedy,Friday,1,16374,30,10,192,1,0,0,1079,0.0761,0,0,5820
education,Thursday,6,12954,15,12,99,1,0,0,149,0.0716,5,0,6149
dance,Saturday,6,625,45,23,214,0,0,0,140,0.0823,3,0,19502
fashion,Saturday,9,65262,45,25,140,1,1,1,446,0.0318,8,0,46099
education,Sunday,21,3391,15,12,48,1,1,0,2136,0.0824,7,1,12841
food,Wednesday,20,5563,7,11,114,1,1,0,2632,0.0578,3,0,8558
education,Tuesday,2,2879,7,13,228,1,1,1,10506,0.0465,1,0,4722
dance,Tuesday,11,675,45,12,251,1,1,0,50,0.09,5,0,5685
motivation,Tuesday,2,18460,15,24,74,1,1,1,1708,0.0265,2,0,2984
motivation,Friday,10,8276,30,8,190,1,0,0,3756,0.1356,0,0,8167
fitness,Monday,11,1153,15,13,198,1,1,0,3485,0.1406,6,1,5693
gaming,Friday,3,26888,15,0,162,1,0,0,8,0.1008,3,0,18835
finance,Thursday,15,5424,7,8,138,1,0,0,521,0.049,8,0,2531
